"ELORRIAGA, OSVALDO ENRIQUE","ENTRE RIOS","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/oelorriaga_small.jpg"
"ESPINDOLA, GLADYS SUSANA","CORDOBA","UCR","http://www4.hcdn.gov.ar/fotos/gespindola_small.jpg"
"FADUL, LILIANA","TIERRA DEL FUEGO","PARTIDO FEDERAL FUEGUINO","http://www4.hcdn.gov.ar/fotos/lfadul_small.jpg"
"FAUSTINELLI, HIPOLITO","CORDOBA","UCR","http://www4.hcdn.gov.ar/fotos/hfaustinelli_small.jpg"
"FAVARIO, CARLOS ALBERTO","SANTA FE","DEMOCRATA PROGRESISTA","http://www4.hcdn.gov.ar/fotos/cfavario_small.jpg"
"FELETTI, ROBERTO JOSE","CIUDAD de BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/rfeletti_small.jpg"
"FELIX, OMAR CHAFI","MENDOZA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ofelix_small.jpg"
"FERNANDEZ, RODOLFO ALFREDO","CORRIENTES","UCR","http://www4.hcdn.gov.ar/fotos/rfernandez_small.jpg"
"FERNANDEZ SAGASTI, ANABEL","MENDOZA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/afernandezs_small.jpg"
"FERRA DE BARTOL, MARGARITA","SAN JUAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mferra_small.jpg"
"FERRARI, GUSTAVO ALFREDO HORACIO","BUENOS AIRES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/gferrari_small.jpg"
"FERREYRA, ARACELI","CORRIENTES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/aferreyra_small.jpg"
"FIAD, MARIO RAYMUNDO","JUJUY","UCR","http://www4.hcdn.gov.ar/fotos/mfiad_small.jpg"
"FIORE VIÑUALES, MARIA CRISTINA DEL VALLE","SALTA","RENOVADOR DE SALTA","http://www4.hcdn.gov.ar/fotos/mfiorev_small.jpg"
"FORCONI, JUAN CARLOS","SANTA FE","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jforconi_small.jpg"
"FORTE, ULISES UMBERTO JOSE","LA PAMPA","UCR","http://www4.hcdn.gov.ar/fotos/uforte_small.jpg"
"FORTUNA, FRANCISCO JOSE","CORDOBA","CORDOBA FEDERAL","http://www4.hcdn.gov.ar/fotos/ffortuna_small.jpg"
"FRANCIONI, FABIAN MARCELO","CORDOBA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ffrancioni_small.jpg"
"GALLARDO, MIRIAM GRACIELA","TUCUMAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mgallardo_small.jpg"
"GAMBARO, NATALIA","BUENOS AIRES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/ngambaro_small.jpg"
"GARCIA, ANDREA FABIANA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/agarcia_small.jpg"
