"PASTORIZA, MIRTA AMELIANA","SANTIAGO DEL ESTERO","FRENTE CIVICO POR SANTIAGO","http://www4.hcdn.gov.ar/fotos/mpastoriza_small.jpg"
"PERALTA, FABIAN FRANCISCO","SANTA FE","GEN","http://www4.hcdn.gov.ar/fotos/fperalta_small.jpg"
"PEREZ, ALBERTO JOSE","SAN LUIS","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/ajperez_small.jpg"
"PERIE, JULIA ARGENTINA","MISIONES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jperie_small.jpg"
"PEROTTI, OMAR ANGEL","SANTA FE","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/operotti_small.jpg"
"PERRONI, ANA MARIA","CORRIENTES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/aperroni_small.jpg"
"PIEMONTE, HECTOR HORACIO","BUENOS AIRES","COALICION CIVICA - ARI","http://www4.hcdn.gov.ar/fotos/hpiemonte_small.jpg"
"PIETRAGALLA CORTI, HORACIO","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/hpietragallac_small.jpg"
"PILATTI VERGARA, MARIA INES","CHACO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mpilattiv_small.jpg"
"PINEDO, FEDERICO","CIUDAD de BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/fpinedo_small.jpg"
"PLAINI, FRANCISCO OMAR","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/oplaini_small.jpg"
"PORTELA, AGUSTIN ALBERTO","CORRIENTES","UCR","http://www4.hcdn.gov.ar/fotos/aportela_small.jpg"
"PRADINES, ROBERTO ARTURO","MENDOZA","DEMOCRATA DE MENDOZA","http://www4.hcdn.gov.ar/fotos/rpradines_small.jpg"
"PUCHETA, RAMONA","BUENOS AIRES","SOCIALISTA DEL MIJD","http://www4.hcdn.gov.ar/fotos/rpucheta_small.jpg"
"PUERTA, FEDERICO RAMON","MISIONES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/fpuerta_small.jpg"
"PUIGGROS, ADRIANA VICTORIA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/apuiggros_small.jpg"
"RAIMUNDI, CARLOS ALBERTO","BUENOS AIRES","NUEVO ENCUENTRO","http://www4.hcdn.gov.ar/fotos/craimundi_small.jpg"
"RASINO, ELIDA ELENA","SANTA FE","PARTIDO SOCIALISTA","http://www4.hcdn.gov.ar/fotos/erasino_small.jpg"
"RE, HILMA LEONOR","ENTRE RIOS","COALICION CIVICA - ARI","http://www4.hcdn.gov.ar/fotos/hre_small.jpg"
"RECALDE, HECTOR PEDRO","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/hrecalde_small.jpg"
"REDCZUK, OSCAR FELIPE","MISIONES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/oredczuk_small.jpg"
"REGAZZOLI, MARIA CRISTINA","LA PAMPA","PARTIDO JUSTICIALISTA LA PAMPA","http://www4.hcdn.gov.ar/fotos/mregazzoli_small.jpg"
"RIESTRA, ANTONIO SABINO","SANTA FE","UNIDAD POPULAR","http://www4.hcdn.gov.ar/fotos/ariestra_small.jpg"
"RIOS, LILIANA MARIA","ENTRE RIOS","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/lrios_small.jpg"
"RIOS, ROBERTO FABIAN","CORRIENTES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/frios_small.jpg"
"RISKO, SILVIA LUCRECIA","MISIONES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/srisko_small.jpg"
"RIVARA, RAUL ALBERTO","BUENOS AIRES","UNION PERONISTA","http://www4.hcdn.gov.ar/fotos/rrivara_small.jpg"
"RIVAROLA, RUBEN ARMANDO","JUJUY","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/rrivarola_small.jpg"
"RIVAS, JORGE","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jrivas_small.jpg"
"ROBERTI, ALBERTO OSCAR","BUENOS AIRES","FRENTE RENOVADOR PERONISTA","http://www4.hcdn.gov.ar/fotos/aroberti_small.jpg"
"ROBLEDO, ROBERTO RICARDO","LA PAMPA","PARTIDO JUSTICIALISTA LA PAMPA","http://www4.hcdn.gov.ar/fotos/rrobledo_small.jpg"
"RODRIGUEZ, MARCELA VIRGINIA","BUENOS AIRES","DEMOCRACIA IGUALITARIA Y PARTICIPATIVA (D.I.P.)","http://www4.hcdn.gov.ar/fotos/mrodriguez_small.jpg"
"ROGEL, FABIAN DULIO","ENTRE RIOS","UCR","http://www4.hcdn.gov.ar/fotos/frogel_small.jpg"
"ROSSI, AGUSTIN OSCAR","SANTA FE","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/arossi_small.jpg"
"RUCCI, CLAUDIA MONICA","BUENOS AIRES","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/crucci_small.jpg"
"RUIZ, AIDA DELIA","SANTIAGO DEL ESTERO","FRENTE CIVICO POR SANTIAGO","http://www4.hcdn.gov.ar/fotos/aruiz_small.jpg"
"SABBATELLA, MARTIN","BUENOS AIRES","NUEVO ENCUENTRO","http://www4.hcdn.gov.ar/fotos/msabbatella_small.jpg"
"SACCA, LUIS FERNANDO","TUCUMAN","UCR","http://www4.hcdn.gov.ar/fotos/lsacca_small.jpg"
"SALIM, JUAN ARTURO","TUCUMAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jsalim_small.jpg"
"SANTILLAN, WALTER MARCELO","TUCUMAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/wsantillan_small.jpg"
"SANTIN, EDUARDO","BUENOS AIRES","UCR","http://www4.hcdn.gov.ar/fotos/esantin_small.jpg"
"SCHMIDT LIERMANN, CORNELIA","CIUDAD de BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/csliermann_small.jpg"
"SCIUTTO, RUBEN DARIO","TIERRA DEL FUEGO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/rsciutto_small.jpg"
"SEGARRA, ADELA ROSA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/asegarra_small.jpg"
"SIMONCINI, SILVIA ROSA","SANTA FE","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ssimoncini_small.jpg"
"SOLA, FELIPE CARLOS","BUENOS AIRES","UNION PERONISTA","http://www4.hcdn.gov.ar/fotos/fsola_small.jpg"
"SOLANAS, FERNANDO EZEQUIEL","CIUDAD de BUENOS AIRES","MOVIMIENTO PROYECTO SUR","http://www4.hcdn.gov.ar/fotos/fsolanas_small.jpg"
"SOLANAS, JULIO RODOLFO","ENTRE RIOS","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jsolanas_small.jpg"
"SOTO, GLADYS BEATRIZ","CHACO","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/gsoto_small.jpg"
"STOLBIZER, MARGARITA ROSA","BUENOS AIRES","GEN","http://www4.hcdn.gov.ar/fotos/mstolbizer_small.jpg"
"STORANI, MARIA LUISA","BUENOS AIRES","UCR","http://www4.hcdn.gov.ar/fotos/mstorani_small.jpg"
"TERADA, ALICIA","CHACO","COALICION CIVICA - ARI","http://www4.hcdn.gov.ar/fotos/aterada_small.jpg"
"THOMAS, ENRIQUE LUIS","MENDOZA","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/ethomas_small.jpg"
"TINEO, JAVIER HECTOR","LA RIOJA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jtineo_small.jpg"
"TOMAS, HECTOR DANIEL","SAN JUAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/htomas_small.jpg"
"TONELLI, PABLO GABRIEL","CIUDAD de BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/ptonelli_small.jpg"
"TRIACA, ALBERTO JORGE","CIUDAD de BUENOS AIRES","PRO","http://www4.hcdn.gov.ar/fotos/atriaca_small.jpg"
"TUNESSI, JUAN PEDRO","BUENOS AIRES","UCR","http://www4.hcdn.gov.ar/fotos/jtunessi_small.jpg"
"UÑAC, JOSE RUBEN","SAN JUAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/junac_small.jpg"
"VALINOTTO, JORGE ANSELMO","CORDOBA","FRENTE CIVICO - CORDOBA","http://www4.hcdn.gov.ar/fotos/jvalinotto_small.jpg"
"VAQUIE, ENRIQUE ANDRES","MENDOZA","UCR","http://www4.hcdn.gov.ar/fotos/evaquie_small.jpg"
"VEAUTE, MARIANA ALEJANDRA","CATAMARCA","FRENTE CIVICO Y SOCIAL DE CATAMARCA","http://www4.hcdn.gov.ar/fotos/mveaute_small.jpg"
"VIDELA, NORA ESTHER","SAN LUIS","FRENTE PERONISTA","http://www4.hcdn.gov.ar/fotos/nvidela_small.jpg"
"VILARIÑO, JOSE ANTONIO","SALTA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jvilarino_small.jpg"
"VILLA, JOSE ANTONIO","SAN JUAN","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jvilla_small.jpg"
"VILLATA, GRACIELA SUSANA","CORDOBA","FRENTE CIVICO - CORDOBA","http://www4.hcdn.gov.ar/fotos/gvillata_small.jpg"
"WAYAR, WALTER RAUL","SALTA","FRENTE PERONISTA FEDERAL","http://www4.hcdn.gov.ar/fotos/wwayar_small.jpg"
"YAGUE, LINDA CRISTINA","NEUQUEN","UCR","http://www4.hcdn.gov.ar/fotos/lyague_small.jpg"
"YARADE, FERNANDO","SALTA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/fyarade_small.jpg"
"YAZBEK, RUBEN DAVID","CATAMARCA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/ryazbek_small.jpg"
"YOMA, JORGE RAUL","LA RIOJA","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/jyoma_small.jpg"
"ZABALZA, JUAN CARLOS","SANTA FE","PARTIDO SOCIALISTA","http://www4.hcdn.gov.ar/fotos/jzabalza_small.jpg"
"ZAMARREÑO, MARIA EUGENIA","BUENOS AIRES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/mzamarreno_small.jpg"
"ZIEBART, CRISTINA ISABEL","CHUBUT","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/cziebart_small.jpg"
"ZIEGLER, ALEX ROBERTO","MISIONES","FRENTE PARA LA VICTORIA - PJ","http://www4.hcdn.gov.ar/fotos/aziegler_small.jpg"
